,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
268,-1.4722612630055631,-0.6924342105263159,-1.5348249531364169,-1.5462623500379316,,-0.71900826446281,-1.8492997518039227,-1.7456398553298054
269,-1.4242544037807168,-1.1858552631578947,-1.4002686923251106,-1.4321102458225203,,-0.48484848484848486,-1.8461170896004508,-1.6704729410652408
270,-1.2350950670605592,-0.9720394736842106,-1.2063392479883093,-0.8467110864644181,,-0.5743801652892562,-1.8823544584523852,-1.6144857960458192
271,-1.1836519521992945,-1.087171052631579,-1.1346110906200466,-1.1053819649148362,,-0.48484848484848486,-1.8533521039975356,-1.5679795795792613
272,,,,,-1.9725920125293657,-1.9724517906336088,,
273,,,,,-1.3324197337509789,-1.8415977961432506,,
274,,,,,-1.9549725920125294,-1.9173553719008265,,
275,,,,,-1.9647611589663274,-1.9311294765840221,,
276,,,,,-1.9490994518402507,-1.9517906336088153,,
277,,,,,-1.8531714956930305,-1.9035812672176309,,
278,,,,,-1.7983555207517619,-1.8760330578512396,,
279,-1.957746150070402,-1.1858552631578947,-1.8942359251676701,-1.8956465267921112,-1.412685982772122,-1.5798898071625345,,-1.9360740593188068
280,-1.862558949142238,-1.0707236842105263,-1.772945063974919,-1.6880773870248085,-1.5849647611589663,-1.6074380165289255,-1.9571393805580024,-1.9591899671169353
281,-1.859704577377523,-1.037828947368421,-1.7624430692086999,-1.7224789084881822,-1.600626468285043,-1.6074380165289255,-1.9703326452592602,-1.9127026748483291
282,-1.859704577377523,-1.037828947368421,-1.7624430692086999,-1.7224789084881822,-1.5555990602975724,-1.5867768595041323,-1.9480626413285103,-1.875753272968422
283,-1.7556116535032824,-1.2516447368421053,-1.7464814086387734,-1.716828401430293,-1.6456538762725137,-1.5798898071625345,-1.9642562882451695,-1.9507497748304308
284,-1.5577100624215605,-1.1282894736842106,-1.6744410802785437,-1.653158012883808,-1.3167580266249022,-1.455922865013774,-1.9521196577453472,-1.948005766127419
285,-1.3605441134540817,-1.2927631578947367,-1.6437346365650336,-1.6681321327605798,,-1.497245179063361,-1.7898735324072557,-1.920830617868629
286,-1.6218612089705235,-1.2845394736842106,-1.7871237490399676,-1.7890615451737408,,-1.800275482093664,-1.9613956718912093,-1.9532856173559723
287,-1.5830566667163122,-1.268092105263158,-1.7838380457594,-1.7867693062401886,,-1.8484848484848484,-1.9680092241136722,-1.958518158089646
288,-1.4699981573119332,-1.2105263157894737,-1.7324602680853745,-1.7367612278930746,,-1.834710743801653,-1.92089627524762,-1.9346263581754939
289,,,,,-1.8003132341425214,-1.9449035812672175,,
290,,,,,-1.6319498825371965,-1.8553719008264462,,
291,,,,,-1.6182458888018794,-1.8415977961432506,,
292,,,,,-1.5830070477682068,-1.8415977961432506,,
293,,,,,-1.6221613155833985,-1.8071625344352618,,
294,,,,,-1.5360219263899766,-1.7176308539944904,,
295,,,,,-1.6123727486296007,-1.7176308539944904,,
296,-1.7156614984967586,-1.0953947368421053,-1.4991928433530748,-1.5307704189095372,-1.4870790916209868,-1.600550964187328,,-1.751440216623023
297,-1.639490227672562,-0.6759868421052633,-1.3346567578104027,-1.3821891344681987,-1.5340642129992168,-1.6694214876033058,-1.9182460850563587,-1.7476742066096245
298,-1.5225343821109838,-0.5279605263157896,-1.1707013021423018,-1.1826027996390016,-1.5360219263899766,-1.6074380165289255,-1.8606298469682943,-1.6504323100552702
299,-1.510050029824813,-0.19901315789473673,-1.149192493189315,-1.1852043389332327,-1.649569303054033,-1.7107438016528924,-1.90881438235598,-1.8157540087412385
300,-1.5493437657140121,-0.4457236842105263,-1.3191357491520201,-1.423753239782846,-1.6064996084573218,-1.7107438016528924,-1.9365941205967274,-1.8056484870349752
301,-1.5490690634880104,-0.13322368421052633,-1.3397282670862407,-1.4477761799798403,-1.7278778386844165,-1.6487603305785123,-1.9438628567916052,-1.772483830124439
302,-1.5252799310777339,-0.009868421052631637,-1.29209143476099,-1.4196230532933014,,-1.6280991735537191,-1.897318090731897,-1.7780380822232935
303,-1.5639325834931364,0.1875,-1.2067827887508726,-1.2168731387537686,,-1.7038567493112948,-1.8691195910244383,-1.8916495046269475
304,-1.556923390786056,-0.02631578947368407,-1.2692957739903028,-1.3985427541142528,,-1.6349862258953167,-1.9182230856108051,-1.8917158339407685
305,-1.4874049766024957,-0.10855263157894735,-1.1656239276234852,-1.303124842529399,,-1.6280991735537191,-1.87591070003881,-1.821866524679671
306,,,,,-1.9784651527016446,-1.9793388429752066,,
307,,,,,-1.966718872357087,-1.9586776859504131,,
308,,,,,-1.9432263116679718,-1.9449035812672175,,
309,,,,,-1.9686765857478465,-1.9517906336088153,,
310,,,,,-1.9843382928739233,-1.965564738292011,,
311,,,,,-1.970634299138606,-1.9586776859504131,,
312,,,,,-1.9353954581049335,-1.9173553719008265,,
313,-1.992049573800367,-1.9917763157894737,-1.9554357963074065,-1.9887114136856683,-1.937353171495693,-1.896694214876033,,-2.0
314,-2.0,-1.9917763157894737,-1.954875534291537,-1.9665291689696534,-1.927564604541895,-1.9242424242424243,-1.998131469286994,-1.997785868839639
315,-1.9904615645645862,-1.975328947368421,-1.9478401899288234,-1.9777404267416483,-1.9588880187940485,-1.9517906336088153,-1.9911241440397138,-1.9964233265871092
316,-1.9867173906358337,-1.9588815789473684,-1.9418056719525831,-1.9686805594868066,-1.9549725920125294,-1.93801652892562,-1.9869147629975545,-1.9930264330547602
317,-1.985750776318402,-1.975328947368421,-1.9783831947073915,-1.9671643815189446,-1.933437744714174,-1.93801652892562,-1.9893504525322656,-1.994691762474519
318,-1.98626823709371,-1.950657894736842,-1.9850304700831756,-1.9807355268903681,-1.8981989036805011,-1.93801652892562,-1.9982533824319564,-1.9965841822696995
319,-1.9923026454025268,-1.975328947368421,-2.0,-2.0,,-1.9173553719008265,-1.9936584792150278,-1.9984482157679522
320,-1.9869673817157127,-2.0,-1.986769616757437,-1.9914496726044841,,-1.9035812672176309,-1.9899313359648374,-1.988910420000243
321,-1.979030081219711,-1.975328947368421,-1.993965511204073,-1.991852885718097,,-1.9242424242424243,-1.9920004818882433,-1.9920612989592184
322,-1.9718969979426397,-1.9835526315789473,-1.9829936842129836,-1.9823470122866602,,-1.9517906336088153,-2.0,-1.991900443276628
323,,,,,-1.7200469851213782,-1.9517906336088153,,
324,,,,,-1.620203602192639,-1.9449035812672175,,
325,,,,,-1.8962411902897416,-1.9104683195592287,,
326,,,,,-1.9314800313234142,-1.93801652892562,,
327,,,,,-1.821848081440877,-1.8829201101928374,,
328,,,,,-1.831636648394675,-1.8484848484848484,,
329,,,,,-1.8629600626468286,-1.8898071625344353,,
330,-1.9066477858330906,-1.8273026315789473,-1.878434814681666,-1.8542646958986857,-1.8257635082223962,-1.8209366391184574,,-1.9621137557004888
